raster_name,height,width,channels,pixels_all,grid_pk,black,grey,blue,green,brown,red,black_relative,grey_relative,blue_relative,green_relative,brown_relative,red_relative,relative_sum
azm_10_24bit_1,295,295,3,87025,1,904,111,576,0,1460,0,0.02,0.0,0.01,0.0,0.03,0.0,0.06
azm_10_24bit_2,295,295,3,87025,2,2415,324,209,0,1227,0,0.04,0.01,0.0,0.0,0.02,0.0,0.07
azm_10_24bit_3,295,295,3,87025,3,0,0,0,0,1096,0,0.0,0.0,0.0,0.0,0.02,0.0,0.02
azm_10_24bit_4,295,295,3,87025,4,1412,315,245,0,1327,0,0.03,0.01,0.0,0.0,0.02,0.0,0.06
azm_10_24bit_5,295,295,3,87025,5,1344,423,1653,0,1799,0,0.02,0.01,0.03,0.0,0.03,0.0,0.09
azm_10_24bit_6,295,296,3,87320,6,1103,390,970,0,1709,0,0.02,0.01,0.02,0.0,0.03,0.0,0.08
azm_10_24bit_7,295,295,3,87025,7,2542,763,1073,0,2825,0,0.05,0.01,0.02,0.0,0.05,0.0,0.13
azm_10_24bit_8,295,296,3,87320,8,2472,799,119,0,2436,0,0.04,0.01,0.0,0.0,0.04,0.0,0.09
azm_10_24bit_9,295,295,3,87025,9,547,68,0,0,875,0,0.01,0.0,0.0,0.0,0.02,0.0,0.03
azm_10_24bit_10,295,295,3,87025,10,1754,330,521,0,1667,0,0.03,0.01,0.01,0.0,0.03,0.0,0.08
azm_10_24bit_11,296,295,3,87320,11,601,81,0,0,1071,0,0.01,0.0,0.0,0.0,0.02,0.0,0.03
azm_10_24bit_12,296,295,3,87320,12,1452,458,459,0,1404,0,0.03,0.01,0.01,0.0,0.03,0.0,0.08
azm_10_24bit_13,295,295,3,87025,13,1870,564,0,0,2468,0,0.03,0.01,0.0,0.0,0.04,0.0,0.08
azm_10_24bit_14,295,296,3,87320,14,2495,773,0,0,2893,0,0.04,0.01,0.0,0.0,0.05,0.0,0.1
azm_10_24bit_15,296,295,3,87320,15,1465,479,0,0,2691,0,0.03,0.01,0.0,0.0,0.05,0.0,0.09
azm_10_24bit_16,296,296,3,87616,16,2112,543,0,0,1555,0,0.04,0.01,0.0,0.0,0.03,0.0,0.08
azm_10_24bit_17,295,295,3,87025,17,2414,429,886,0,662,0,0.04,0.01,0.02,0.0,0.01,0.0,0.08
azm_10_24bit_18,295,295,3,87025,18,0,0,127,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azm_10_24bit_19,295,295,3,87025,19,2636,609,482,0,879,0,0.05,0.01,0.01,0.0,0.02,0.0,0.09000000000000001
azm_10_24bit_20,295,295,3,87025,20,1927,508,528,0,855,0,0.03,0.01,0.01,0.0,0.02,0.0,0.07
azm_10_24bit_21,295,295,3,87025,21,2400,683,601,0,466,0,0.04,0.01,0.01,0.0,0.01,0.0,0.07
azm_10_24bit_22,295,296,3,87320,22,5498,1097,0,0,1178,0,0.1,0.02,0.0,0.0,0.02,0.0,0.14
azm_10_24bit_23,295,295,3,87025,23,1229,424,303,0,632,0,0.02,0.01,0.01,0.0,0.01,0.0,0.05
azm_10_24bit_24,295,296,3,87320,24,2559,1015,0,0,631,0,0.05,0.02,0.0,0.0,0.01,0.0,0.08
azm_10_24bit_25,295,295,3,87025,25,1764,544,0,0,1812,0,0.03,0.01,0.0,0.0,0.03,0.0,0.07
azm_10_24bit_26,295,295,3,87025,26,2139,630,0,0,978,0,0.04,0.01,0.0,0.0,0.02,0.0,0.07
azm_10_24bit_27,296,295,3,87320,27,2749,1027,0,0,1743,0,0.05,0.02,0.0,0.0,0.03,0.0,0.1
azm_10_24bit_28,296,295,3,87320,28,2222,998,0,0,1052,0,0.04,0.02,0.0,0.0,0.02,0.0,0.08
azm_10_24bit_29,295,295,3,87025,29,2049,678,0,0,677,0,0.04,0.01,0.0,0.0,0.01,0.0,0.060000000000000005
azm_10_24bit_30,295,296,3,87320,30,4563,1554,0,0,693,0,0.08,0.03,0.0,0.0,0.01,0.0,0.12
azm_10_24bit_31,296,295,3,87320,31,2490,823,0,0,804,0,0.04,0.01,0.0,0.0,0.01,0.0,0.060000000000000005
azm_10_24bit_32,296,296,3,87616,32,5433,1932,0,0,758,0,0.1,0.03,0.0,0.0,0.01,0.0,0.14
azm_10_24bit_33,295,295,3,87025,33,3130,985,0,0,1012,0,0.06,0.02,0.0,0.0,0.02,0.0,0.1
azm_10_24bit_34,295,295,3,87025,34,2003,825,0,0,1217,0,0.04,0.01,0.0,0.0,0.02,0.0,0.07
azm_10_24bit_35,295,295,3,87025,35,2788,1154,0,0,639,0,0.05,0.02,0.0,0.0,0.01,0.0,0.08
azm_10_24bit_36,295,295,3,87025,36,2897,1158,0,0,632,0,0.05,0.02,0.0,0.0,0.01,0.0,0.08
azm_10_24bit_37,295,295,3,87025,37,2921,1146,237,0,1001,0,0.05,0.02,0.0,0.0,0.02,0.0,0.09000000000000001
azm_10_24bit_38,295,296,3,87320,38,4654,1303,0,0,737,0,0.08,0.02,0.0,0.0,0.01,0.0,0.11
azm_10_24bit_39,295,295,3,87025,39,4874,1659,0,0,530,0,0.09,0.03,0.0,0.0,0.01,0.0,0.13
azm_10_24bit_40,295,296,3,87320,40,3930,1503,0,0,724,0,0.07,0.03,0.0,0.0,0.01,0.0,0.11
azm_10_24bit_41,295,295,3,87025,41,4330,1824,0,0,573,60,0.08,0.03,0.0,0.0,0.01,0.0,0.12
azm_10_24bit_42,295,295,3,87025,42,5383,1735,0,0,1356,0,0.1,0.03,0.0,0.0,0.02,0.0,0.15
azm_10_24bit_43,296,295,3,87320,43,2889,505,0,0,1328,125,0.05,0.01,0.0,0.0,0.02,0.0,0.08
azm_10_24bit_44,296,295,3,87320,44,950,295,0,0,2384,182,0.02,0.01,0.0,0.0,0.04,0.0,0.07
azm_10_24bit_45,295,295,3,87025,45,3974,1339,0,0,1677,0,0.07,0.02,0.0,0.0,0.03,0.0,0.12000000000000001
azm_10_24bit_46,295,296,3,87320,46,4498,1608,0,0,737,0,0.08,0.03,0.0,0.0,0.01,0.0,0.12
azm_10_24bit_47,296,295,3,87320,47,1186,301,0,0,3070,146,0.02,0.01,0.0,0.0,0.06,0.0,0.09
azm_10_24bit_48,296,296,3,87616,48,2290,694,0,0,2439,61,0.04,0.01,0.0,0.0,0.04,0.0,0.09
azm_10_24bit_49,295,295,3,87025,49,3797,1356,201,0,827,0,0.07,0.02,0.0,0.0,0.01,0.0,0.1
azm_10_24bit_50,295,295,3,87025,50,3477,1419,37,0,905,0,0.06,0.03,0.0,0.0,0.02,0.0,0.11
azm_10_24bit_51,295,295,3,87025,51,3338,1401,0,0,303,0,0.06,0.03,0.0,0.0,0.01,0.0,0.09999999999999999
azm_10_24bit_52,295,295,3,87025,52,2660,1227,0,0,483,0,0.05,0.02,0.0,0.0,0.01,0.0,0.08
azm_10_24bit_53,295,295,3,87025,53,3085,1295,439,0,633,0,0.06,0.02,0.01,0.0,0.01,0.0,0.09999999999999999
azm_10_24bit_54,295,296,3,87320,54,4120,1551,0,0,867,0,0.07,0.03,0.0,0.0,0.02,0.0,0.12000000000000001
azm_10_24bit_55,295,295,3,87025,55,5073,1850,0,0,553,0,0.09,0.03,0.0,0.0,0.01,0.0,0.13
azm_10_24bit_56,295,296,3,87320,56,4956,2032,0,0,567,0,0.09,0.04,0.0,0.0,0.01,0.0,0.14
azm_10_24bit_57,295,295,3,87025,57,3539,1286,0,0,998,0,0.06,0.02,0.0,0.0,0.02,0.0,0.1
azm_10_24bit_58,295,295,3,87025,58,3430,1268,0,0,1610,0,0.06,0.02,0.0,0.0,0.03,0.0,0.11
azm_10_24bit_59,296,295,3,87320,59,2509,601,0,0,2715,0,0.04,0.01,0.0,0.0,0.05,0.0,0.1
azm_10_24bit_60,296,295,3,87320,60,2172,533,0,0,1971,174,0.04,0.01,0.0,0.0,0.04,0.0,0.09
azm_10_24bit_61,295,295,3,87025,61,5687,1949,0,0,1012,0,0.1,0.03,0.0,0.0,0.02,0.0,0.15
azm_10_24bit_62,295,296,3,87320,62,3827,1482,0,0,672,0,0.07,0.03,0.0,0.0,0.01,0.0,0.11
azm_10_24bit_63,296,295,3,87320,63,2721,796,0,0,612,71,0.05,0.01,0.0,0.0,0.01,0.0,0.07
azm_10_24bit_64,296,296,3,87616,64,4384,1429,0,0,852,0,0.08,0.03,0.0,0.0,0.02,0.0,0.13
